iter	RMSE
0	0.8916192634
1	0.8692393021
2	0.848109833
3	0.8272507113
4	0.8068383232
5	0.7878197977
6	0.7699882941
7	0.752537788
8	0.7351907836
9	0.7185734427
10	0.7022263293
11	0.6865509223
12	0.6721280572
13	0.6582915658
14	0.6444264356
15	0.6315566616
16	0.6191163345
17	0.6069061182
18	0.5955178858
19	0.5841082734
20	0.5736641174
21	0.5636301935
22	0.5536731506
23	0.5442713299
24	0.535440326
25	0.5271353258
26	0.5187625374
27	0.5104092251
28	0.5027555055
29	0.4952154638
30	0.4875706907
31	0.4811815769
32	0.4750396947
33	0.4689121272
34	0.4631444203
35	0.4576642821
36	0.4526156599
37	0.4471593845
38	0.4424603718
39	0.4374925438
40	0.4330550438
41	0.4284791256
42	0.4243511791
43	0.4198084129
44	0.4156762084
45	0.4117137465
46	0.4083745609
47	0.4046624182
48	0.40101395
49	0.3975672183
50	0.3943500331
51	0.3913783529
52	0.3885097184
53	0.3857416822
54	0.3829921384
55	0.3806786687
56	0.3784031685
57	0.3759074578
58	0.3732502237
59	0.3713029655
60	0.3688378556
61	0.3671039371
62	0.3651219347
63	0.3633769783
64	0.3616086908
65	0.3600438386
66	0.3582446504
67	0.3568633873
68	0.3552280593
69	0.3538310299
70	0.3521565903
71	0.3508856154
72	0.3493542427
73	0.347968755
74	0.3464331539
75	0.3453330543
76	0.3442824092
77	0.343148283
78	0.3421905587
79	0.3411933186
80	0.3400333319
81	0.3389348874
82	0.3377289889
83	0.3366433226
84	0.3355047193
85	0.3344031267
86	0.3335062585
87	0.3325424604
88	0.3316714026
89	0.3309406997
90	0.3299761576
91	0.3292253347
92	0.3286148738
93	0.3278153742
94	0.3270508572
95	0.3263055681
96	0.325835259
97	0.3251093366
98	0.3244801482
99	0.3238028435
100	0.3230063341
101	0.3224616834
102	0.3217449006
103	0.3209887476
104	0.3205037393
105	0.3199497614
106	0.3194959083
107	0.318888244
108	0.3183929845
109	0.3180067139
110	0.3173961532
111	0.3167759972
112	0.3162632799
113	0.3157577532
114	0.3151019436
115	0.3146898943
116	0.3140159999
117	0.3134676142
118	0.313077185
119	0.3125211075
120	0.3118676567
121	0.3114721398
122	0.311067423
123	0.3107264992
124	0.3102254836
125	0.3098545767
126	0.3095119409
127	0.3090558113
128	0.3086283014
129	0.3082039712
130	0.3078643245
131	0.3075659305
132	0.3072630197
133	0.3068636001
134	0.3064017569
135	0.3060074685
136	0.3055925437
137	0.3050980459
138	0.3047987596
139	0.3044674962
140	0.3041700034
141	0.3038580771
142	0.3034311537
143	0.30327139
144	0.3027944038
145	0.3025148303
146	0.3021120097
147	0.3018571914
148	0.3015299933
149	0.3012238179
150	0.3008236581
151	0.3005206686
152	0.3001428831
153	0.2998687781
154	0.2996186036
155	0.2992679976
156	0.2990408421
