iter	Passed	Remaining
0	14	42914
1	27	41591
2	41	40978
3	55	41633
4	68	41248
5	82	41194
6	96	41162
7	110	41183
8	123	41013
9	136	40828
10	150	40789
11	163	40641
12	176	40642
13	190	40606
14	204	40613
15	217	40568
16	232	40784
17	247	41038
18	262	41152
19	293	43746
20	323	45832
21	353	47889
22	383	49642
23	413	51215
24	441	52512
25	471	53927
26	500	55057
27	529	56158
28	559	57335
29	589	58316
30	617	59103
31	646	59943
32	676	60814
33	706	61596
34	738	62587
35	768	63258
36	796	63748
37	824	64249
38	852	64716
39	878	65043
40	905	65385
41	934	65811
42	961	66136
43	990	66528
44	1020	67013
45	1047	67266
46	1075	67591
47	1105	67965
48	1134	68296
49	1163	68648
50	1191	68877
51	1219	69114
52	1247	69365
53	1275	69566
54	1304	69869
55	1333	70096
56	1360	70247
57	1389	70505
58	1418	70726
59	1446	70862
60	1475	71106
61	1503	71247
62	1530	71339
63	1555	71371
64	1582	71439
65	1608	71512
66	1636	71621
67	1665	71809
68	1695	72004
69	1724	72183
70	1753	72339
71	1779	72363
72	1806	72450
73	1836	72618
74	1864	72700
75	1890	72732
76	1921	72954
77	1951	73099
78	1979	73179
79	2005	73189
80	2032	73233
81	2060	73321
82	2088	73389
83	2116	73482
84	2144	73544
85	2172	73628
86	2198	73623
87	2224	73608
88	2250	73624
89	2277	73628
90	2304	73663
91	2331	73693
92	2356	73655
93	2382	73656
94	2407	73620
95	2433	73619
96	2461	73654
97	2490	73751
98	2518	73785
99	2539	73639
100	2561	73513
101	2590	73602
102	2619	73686
103	2650	73812
104	2680	73915
105	2712	74052
106	2739	74080
107	2768	74121
108	2795	74157
109	2825	74244
110	2854	74298
111	2883	74365
112	2912	74402
113	2941	74478
114	2971	74539
115	3000	74599
116	3030	74664
117	3053	74589
118	3072	74395
119	3093	74236
120	3120	74237
121	3147	74256
122	3176	74306
123	3204	74324
124	3233	74359
125	3266	74503
126	3295	74558
127	3326	74645
128	3354	74655
129	3382	74667
130	3409	74672
131	3436	74674
132	3461	74612
133	3487	74595
134	3513	74556
135	3541	74577
136	3568	74566
137	3595	74573
138	3623	74577
139	3650	74576
140	3678	74586
141	3709	74657
142	3738	74691
143	3763	74642
144	3790	74640
145	3818	74641
146	3847	74670
147	3875	74688
148	3903	74692
149	3932	74708
150	3958	74691
